angle_deg,inner_radius,outer_radius,thickness,inner_radius_mm,outer_radius_mm,thickness_mm
114.000,871.871146,1483.105308,611.234163,17.437423,29.662106,12.224683
115.000,806.430406,1483.123632,654.632371,16.128608,29.662473,13.092647
116.000,828.509585,1483.141956,654.632371,16.570192,29.662839,13.092647
117.000,846.642711,1483.160280,636.517569,16.932854,29.663206,12.730351
118.000,871.209419,1483.178604,611.969185,17.424188,29.663572,12.239384
119.000,889.924614,1483.196928,593.272314,17.798492,29.663939,11.865446
120.000,925.895655,1483.215252,557.319598,18.517913,29.664305,11.146392
121.000,937.230227,1483.233576,557.319598,18.744605,29.664672,11.146392
122.000,898.114601,1483.251900,562.323690,17.962292,29.665038,11.246474
123.000,920.946534,1483.270224,562.323690,18.418931,29.665404,11.246474
124.000,929.356847,1483.288548,553.931701,18.587137,29.665771,11.078634
125.000,987.701417,1483.306872,522.083648,19.754028,29.666137,10.441673
126.000,961.241548,1483.325196,522.083648,19.224831,29.666504,10.441673
127.000,961.241548,1483.343520,522.101972,19.224831,29.666870,10.442039
128.000,961.241548,1483.361844,522.120296,19.224831,29.667237,10.442406
129.000,961.241548,1483.380168,522.138620,19.224831,29.667603,10.442772
130.000,961.241548,1483.398492,522.156944,19.224831,29.667970,10.443139
131.000,961.241548,1483.416816,522.175268,19.224831,29.668336,10.443505
132.000,961.241548,1483.435140,522.193592,19.224831,29.668703,10.443872
133.000,961.241548,1483.453464,522.211916,19.224831,29.669069,10.444238
134.000,961.241548,1483.471788,522.230240,19.224831,29.669436,10.444605
135.000,961.241548,1483.490112,522.248563,19.224831,29.669802,10.444971
136.000,961.241548,1483.508436,522.266887,19.224831,29.670169,10.445338
137.000,961.241548,1483.526760,522.285211,19.224831,29.670535,10.445704
138.000,961.241548,1483.545084,522.303535,19.224831,29.670902,10.446071
139.000,961.241548,1483.563408,522.321859,19.224831,29.671268,10.446437
140.000,961.241548,1483.581732,522.340183,19.224831,29.671635,10.446804
141.000,961.241548,1483.600055,522.358507,19.224831,29.672001,10.447170
142.000,961.241548,1483.618379,522.376831,19.224831,29.672368,10.447537
143.000,961.241548,1483.636703,522.395155,19.224831,29.672734,10.447903
144.000,961.241548,1483.655027,522.395155,19.224831,29.673101,10.447903
145.000,961.241548,1477.755281,517.710512,19.224831,29.555106,10.354210
146.000,961.241548,1478.952060,517.710512,19.224831,29.579041,10.354210
147.000,961.241548,1480.148840,518.907292,19.224831,29.602977,10.378146
148.000,961.241548,1481.345619,520.104071,19.224831,29.626912,10.402081
149.000,961.241548,1482.542399,521.300851,19.224831,29.650848,10.426017
150.000,961.241548,1483.739178,522.497630,19.224831,29.674784,10.449953
151.000,961.241548,1484.935958,523.055255,19.224831,29.698719,10.461105
152.000,961.241548,1484.296803,523.055255,19.224831,29.685936,10.461105
153.000,961.241548,1482.314897,521.073349,19.224831,29.646298,10.421467
154.000,961.241548,1479.922295,518.680747,19.224831,29.598446,10.373615
155.000,961.241548,1477.259964,516.036739,19.224831,29.545199,10.320735
156.000,961.241548,1477.278288,516.036739,19.224831,29.545566,10.320735
157.000,961.241548,1477.296612,516.055063,19.224831,29.545932,10.321101
158.000,961.241548,1477.314935,516.073387,19.224831,29.546299,10.321468
159.000,961.241548,1477.333259,516.091711,19.224831,29.546665,10.321834
160.000,961.241548,1477.351583,516.110035,19.224831,29.547032,10.322201
161.000,961.241548,1477.369907,516.128359,19.224831,29.547398,10.322567
162.000,961.241548,1477.388231,516.146683,19.224831,29.547765,10.322934
163.000,961.241548,1477.406555,516.165007,19.224831,29.548131,10.323300
164.000,961.241548,1477.424879,516.183331,19.224831,29.548498,10.323667
165.000,961.241548,1477.443203,516.183331,19.224831,29.548864,10.323667
166.000,996.564284,1477.461527,491.964757,19.931286,29.549231,9.839295
167.000,985.515094,1477.479851,491.964757,19.710302,29.549597,9.839295
168.000,936.558753,1477.498175,540.939422,18.731175,29.549964,10.818788
169.000,913.079181,1477.516499,556.670248,18.261584,29.550330,11.133405
170.000,920.864576,1477.534823,564.437318,18.417292,29.550696,11.288746
171.000,903.590557,1477.553147,573.962590,18.071811,29.551063,11.479252
172.000,872.246523,1477.571471,605.324948,17.444930,29.551429,12.106499
173.000,872.246523,1477.589795,605.343272,17.444930,29.551796,12.106865
174.000,859.527021,1477.608119,618.081098,17.190540,29.552162,12.361622
175.000,859.527021,1477.626443,618.099422,17.190540,29.552529,12.361988
176.000,837.656404,1477.644767,639.988363,16.753128,29.552895,12.799767
177.000,837.656404,1477.663091,640.006687,16.753128,29.553262,12.800134
178.000,837.656404,1477.681415,640.025011,16.753128,29.553628,12.800500
179.000,837.656404,1477.699739,640.043335,16.753128,29.553995,12.800867
180.000,837.656404,1477.718063,640.061659,16.753128,29.554361,12.801233
181.000,837.656404,1477.736387,640.079983,16.753128,29.554728,12.801600
182.000,837.656404,1477.754711,640.098307,16.753128,29.555094,12.801966
183.000,837.656404,1477.773035,640.116631,16.753128,29.555461,12.802333
184.000,837.656404,1477.791359,640.134955,16.753128,29.555827,12.802699
185.000,837.656404,1477.809683,640.153279,16.753128,29.556194,12.803066
186.000,837.656404,1477.828006,640.171603,16.753128,29.556560,12.803432
187.000,837.656404,1477.846330,640.189927,16.753128,29.556927,12.803799
188.000,837.656404,1477.864654,640.208251,16.753128,29.557293,12.804165
189.000,837.656404,1477.882978,640.226575,16.753128,29.557660,12.804531
190.000,837.656404,1477.901302,640.244899,16.753128,29.558026,12.804898
191.000,837.656404,1477.919626,640.263223,16.753128,29.558393,12.805264
192.000,837.656404,1477.937950,640.281547,16.753128,29.558759,12.805631
193.000,837.656404,1477.956274,640.299871,16.753128,29.559125,12.805997
194.000,837.656404,1477.974598,640.318194,16.753128,29.559492,12.806364
195.000,837.656404,1477.992922,640.336518,16.753128,29.559858,12.806730
196.000,837.656404,1478.011246,640.354842,16.753128,29.560225,12.807097
197.000,837.656404,1478.029570,640.373166,16.753128,29.560591,12.807463
198.000,837.656404,1478.047894,640.391490,16.753128,29.560958,12.807830
199.000,837.656404,1478.066218,640.409814,16.753128,29.561324,12.808196
200.000,837.656404,1478.084542,640.428138,16.753128,29.561691,12.808563
201.000,837.656404,1478.102866,640.428138,16.753128,29.562057,12.808563
202.000,911.479309,1478.121190,585.524106,18.229586,29.562424,11.710482
203.000,892.615408,1478.139514,585.524106,17.852308,29.562790,11.710482
204.000,873.387085,1478.157838,604.770753,17.467742,29.563157,12.095415
205.000,873.387085,1478.176162,604.789077,17.467742,29.563523,12.095782
206.000,873.387085,1478.194486,604.807401,17.467742,29.563890,12.096148
207.000,873.387085,1478.212810,604.825725,17.467742,29.564256,12.096514
208.000,873.387085,1478.231134,604.844049,17.467742,29.564623,12.096881
209.000,873.387085,1478.249458,604.862373,17.467742,29.564989,12.097247
210.000,873.387085,1478.267782,604.880697,17.467742,29.565356,12.097614
211.000,873.387085,1478.286106,604.899021,17.467742,29.565722,12.097980
212.000,873.387085,1478.304430,604.917345,17.467742,29.566089,12.098347
213.000,873.387085,1478.322754,604.935669,17.467742,29.566455,12.098713
214.000,873.387085,1478.341078,604.953993,17.467742,29.566822,12.099080
215.000,873.387085,1478.359401,604.972317,17.467742,29.567188,12.099446
216.000,873.387085,1478.377725,604.990641,17.467742,29.567555,12.099813
217.000,873.387085,1478.396049,605.008965,17.467742,29.567921,12.100179
218.000,873.387085,1478.414373,605.027289,17.467742,29.568287,12.100546
